Mortgage monthly repayments,dollars,%,Suburb
Households where mortgage repayments are less than 30% of household income,--,94.4,Corrimal - Tarrawanna - Bellambi
Households with mortgage repayments greater than 30% of household income,--,5.6,Corrimal - Tarrawanna - Bellambi
Median mortgage repayments,"2,000",--,Figtree - Keiraville
Households where mortgage repayments are less than 30% of household income,--,94.1,Figtree - Keiraville
Households with mortgage repayments greater than 30% of household income,--,5.9,Figtree - Keiraville
Median mortgage repayments,"2,288",--,Helensburgh
Households where mortgage repayments are less than 30% of household income,--,90.0,Helensburgh
Households with mortgage repayments greater than 30% of household income,--,10.0,Helensburgh
Median mortgage repayments,"2,383",--,Thirroul - Austinmer - Coalcliff
Households where mortgage repayments are less than 30% of household income,--,92.5,Thirroul - Austinmer - Coalcliff
Households with mortgage repayments greater than 30% of household income,--,7.5,Thirroul - Austinmer - Coalcliff
Median mortgage repayments,"2,167",--,Woonona - Bulli - Russell Vale
Households where mortgage repayments are less than 30% of household income,--,92.8,Woonona - Bulli - Russell Vale
Households with mortgage repayments greater than 30% of household income,--,7.2,Woonona - Bulli - Russell Vale
Median mortgage repayments,"1,800",--,Wollongong - East
Households where mortgage repayments are less than 30% of household income,--,96.8,Wollongong - East
Households with mortgage repayments greater than 30% of household income,--,3.2,Wollongong - East
Median mortgage repayments,"1,842",--,Wollongong - West
Households where mortgage repayments are less than 30% of household income,--,95.3,Wollongong - West
Households with mortgage repayments greater than 30% of household income,--,4.7,Wollongong - West
Median mortgage repayments,"1,365",--,Bulahdelah - Stroud
Households where mortgage repayments are less than 30% of household income,--,92.8,Bulahdelah - Stroud
Households with mortgage repayments greater than 30% of household income,--,7.2,Bulahdelah - Stroud
Median mortgage repayments,"1,517",--,Forster
Households where mortgage repayments are less than 30% of household income,--,95.1,Forster
Households with mortgage repayments greater than 30% of household income,--,4.9,Forster
Median mortgage repayments,"1,300",--,Forster-Tuncurry Region
Households where mortgage repayments are less than 30% of household income,--,91.8,Forster-Tuncurry Region
Households with mortgage repayments greater than 30% of household income,--,8.2,Forster-Tuncurry Region
Median mortgage repayments,"1,300",--,Tuncurry
Households where mortgage repayments are less than 30% of household income,--,96.2,Tuncurry
Households with mortgage repayments greater than 30% of household income,--,3.8,Tuncurry
Median mortgage repayments,"1,235",--,Kempsey
Households where mortgage repayments are less than 30% of household income,--,94.1,Kempsey
Households with mortgage repayments greater than 30% of household income,--,5.9,Kempsey
Median mortgage repayments,"1,300",--,Kempsey Region
Households where mortgage repayments are less than 30% of household income,--,92.6,Kempsey Region
Households with mortgage repayments greater than 30% of household income,--,7.4,Kempsey Region
Median mortgage repayments,"1,300",--,Macksville - Scotts Head
Households where mortgage repayments are less than 30% of household income,--,95.1,Macksville - Scotts Head
Households with mortgage repayments greater than 30% of household income,--,4.9,Macksville - Scotts Head
Median mortgage repayments,"1,270",--,Nambucca Heads
Households where mortgage repayments are less than 30% of household income,--,96.4,Nambucca Heads
Households with mortgage repayments greater than 30% of household income,--,3.6,Nambucca Heads
Median mortgage repayments,"1,300",--,Nambucca Heads Region
Households where mortgage repayments are less than 30% of household income,--,93.3,Nambucca Heads Region
Households with mortgage repayments greater than 30% of household income,--,6.7,Nambucca Heads Region
Median mortgage repayments,"1,500",--,South West Rocks
Households where mortgage repayments are less than 30% of household income,--,95.5,South West Rocks
Households with mortgage repayments greater than 30% of household income,--,4.5,South West Rocks
Median mortgage repayments,"1,867",--,Lord Howe Island
Households where mortgage repayments are less than 30% of household income,--,95.5,Lord Howe Island
Households with mortgage repayments greater than 30% of household income,--,4.5,Lord Howe Island
Median mortgage repayments,"1,519",--,Laurieton - Bonny Hills
Households where mortgage repayments are less than 30% of household income,--,95.0,Laurieton - Bonny Hills
Households with mortgage repayments greater than 30% of household income,--,5.0,Laurieton - Bonny Hills
Median mortgage repayments,"1,733",--,Port Macquarie - East
Households where mortgage repayments are less than 30% of household income,--,95.0,Port Macquarie - East
Households with mortgage repayments greater than 30% of household income,--,5.0,Port Macquarie - East
Median mortgage repayments,"1,733",--,Port Macquarie - West
Households where mortgage repayments are less than 30% of household income,--,94.5,Port Macquarie - West
Households with mortgage repayments greater than 30% of household income,--,5.5,Port Macquarie - West
Median mortgage repayments,"1,517",--,Port Macquarie Region
Households where mortgage repayments are less than 30% of household income,--,91.6,Port Macquarie Region
Households with mortgage repayments greater than 30% of household income,--,8.4,Port Macquarie Region
Median mortgage repayments,"1,600",--,Wauchope
Households where mortgage repayments are less than 30% of household income,--,93.0,Wauchope
Households with mortgage repayments greater than 30% of household income,--,7.0,Wauchope
Median mortgage repayments,"1,300",--,Gloucester
Households where mortgage repayments are less than 30% of household income,--,95.5,Gloucester
Households with mortgage repayments greater than 30% of household income,--,4.5,Gloucester
Median mortgage repayments,"1,625",--,Old Bar - Manning Point - Red Head
Households where mortgage repayments are less than 30% of household income,--,94.0,Old Bar - Manning Point - Red Head
Households with mortgage repayments greater than 30% of household income,--,6.0,Old Bar - Manning Point - Red Head
Median mortgage repayments,"1,297",--,Taree
Households where mortgage repayments are less than 30% of household income,--,95.2,Taree
Households with mortgage repayments greater than 30% of household income,--,4.8,Taree
Median mortgage repayments,"1,300",--,Taree Region
Households where mortgage repayments are less than 30% of household income,--,93.5,Taree Region
Households with mortgage repayments greater than 30% of household income,--,6.5,Taree Region
Median mortgage repayments,"1,245",--,Wingham
Households where mortgage repayments are less than 30% of household income,--,93.5,Wingham
Households with mortgage repayments greater than 30% of household income,--,6.5,Wingham
Median mortgage repayments,"1,625",--,Albury - East
Households where mortgage repayments are less than 30% of household income,--,94.2,Albury - East
Households with mortgage repayments greater than 30% of household income,--,5.8,Albury - East
Median mortgage repayments,"1,300",--,Albury - North
Households where mortgage repayments are less than 30% of household income,--,95.0,Albury - North
Households with mortgage repayments greater than 30% of household income,--,5.0,Albury - North
Median mortgage repayments,"1,517",--,Albury - South
Households where mortgage repayments are less than 30% of household income,--,96.6,Albury - South
Households with mortgage repayments greater than 30% of household income,--,3.4,Albury - South
Median mortgage repayments,"1,300",--,Albury Region
Households where mortgage repayments are less than 30% of household income,--,92.8,Albury Region
Households with mortgage repayments greater than 30% of household income,--,7.2,Albury Region
Median mortgage repayments,"1,300",--,Lavington
Households where mortgage repayments are less than 30% of household income,--,95.2,Lavington
Households with mortgage repayments greater than 30% of household income,--,4.8,Lavington
Median mortgage repayments,979,--,Hay
Households where mortgage repayments are less than 30% of household income,--,96.5,Hay
Households with mortgage repayments greater than 30% of household income,--,3.5,Hay
Median mortgage repayments,"1,200",--,Wentworth - Buronga
Households where mortgage repayments are less than 30% of household income,--,94.9,Wentworth - Buronga
Households with mortgage repayments greater than 30% of household income,--,5.1,Wentworth - Buronga
Median mortgage repayments,953,--,Wentworth-Balranald Region
Households where mortgage repayments are less than 30% of household income,--,97.0,Wentworth-Balranald Region
Households with mortgage repayments greater than 30% of household income,--,3.0,Wentworth-Balranald Region
Median mortgage repayments,"1,245",--,Corowa
